R,Team,Shots pg,Discipline,Possession%,PassSuccess%,AerialsWon,Rating
1,FC Porto,17.8,271,58.4,81.8,17.1,7.08
2,Benfica,17.1,291,58.7,82.9,11.7,7.02
3,Sporting CP,13.5,383,61.1,83.6,13.7,6.93
4,Braga,10.3,481,52.0,77.9,14.8,6.90
5,Vitoria de Guimaraes,11.5,402,48.3,73.8,14,6.76
6,Maritimo,11.6,440,46.8,71.7,11.9,6.75
7,Rio Ave,11.9,334,52.7,77.4,14.6,6.71
8,Chaves,12.1,363,44.3,69.3,15,6.70
9,Vitoria de Setubal,10.2,400,50.3,72.7,13.5,6.70
10,Boavista,9.9,452,47.0,65.9,18.6,6.69
11,Estoril,8.5,271,47.5,72.8,13.6,6.64
12,Arouca,8.6,383,48.4,69.7,15.6,6.63
13,Moreirense,12.1,366,48.5,73.3,15.6,6.61
14,Belenenses,11.4,452,47.3,69.9,16.4,6.61
15,Pacos de Ferreira,10.4,422,49.0,73.4,16.4,6.60
16,Nacional,12.8,416,47.6,69.6,12.5,6.57
17,Tondela,10.4,443,47.4,66.2,14.9,6.47
18,Feirense,8.5,492,44.5,67.1,14.7,6.42